age;marital;default;balance;housing;day;month;duration;campaign;pdays;previous;poutcome;y;level
30;married;no;1787;no;19;oct;79;;-1;0;unknown;no;zero
33;married;no;4789;yes;11;may;220;1.0;339;4;failure;no;one
35;single;no;1350;yes;16;apr;185;1.0;330;1;failure;no;two
30;married;no;1476;yes;3;jun;199;4.0;-1;0;unknown;no;two
59;married;no;0;yes;5;may;226;1.0;-1;0;unknown;no;zero
35;single;no;747;no;23;feb;141;2.0;176;3;failure;no;one
36;married;no;307;yes;14;may;341;1.0;330;2;other;no;zero
39;married;no;147;yes;6;may;151;2.0;-1;0;unknown;no;two
41;married;no;221;yes;14;may;57;2.0;-1;0;unknown;no;zero
43;married;no;-88;yes;17;apr;313;1.0;147;2;failure;no;one
39;married;no;9374;yes;20;may;273;1.0;-1;0;unknown;no;zero
43;married;no;264;yes;17;apr;113;2.0;-1;0;unknown;no;two
36;married;no;1109;no;13;aug;328;2.0;-1;0;unknown;no;one
20;single;no;502;no;30;apr;261;1.0;-1;0;unknown;yes;zero
31;married;no;360;yes;29;jan;89;1.0;241;1;failure;no;zero
40;married;no;194;no;29;aug;189;2.0;-1;0;unknown;no;one
56;married;no;4073;no;27;aug;239;5.0;-1;0;unknown;no;zero
37;single;no;2317;yes;20;apr;114;1.0;152;2;failure;no;one
25;single;no;-221;yes;23;may;250;1.0;-1;0;unknown;no;two
31;married;no;132;no;7;jul;148;1.0;152;1;other;no;zero
38;divorced;no;0;yes;18;nov;96;2.0;-1;0;unknown;no;two
42;divorced;no;16;no;19;nov;140;3.0;-1;0;unknown;no;one
44;single;no;106;no;12;jun;109;2.0;-1;0;unknown;no;one
44;married;no;93;no;7;jul;125;2.0;-1;0;unknown;no;two
26;married;no;543;no;30;jan;169;3.0;-1;0;unknown;no;one
41;married;no;5883;no;20;nov;182;2.0;-1;0;unknown;no;one
55;married;no;627;yes;5;may;247;1.0;-1;0;unknown;no;zero
67;married;no;696;no;17;aug;119;1.0;105;2;failure;no;zero
56;married;no;784;no;30;jul;149;2.0;-1;0;unknown;no;zero
53;married;no;105;no;21;aug;74;2.0;-1;0;unknown;no;one
68;divorced;no;4189;no;14;jul;897;2.0;-1;0;unknown;yes;zero
31;married;no;171;no;27;aug;81;3.0;-1;0;unknown;no;one
59;married;no;42;no;21;nov;40;1.0;-1;0;unknown;no;two
32;single;no;2536;yes;26;aug;958;6.0;-1;0;unknown;yes;two
49;married;no;1235;no;13;aug;354;3.0;-1;0;unknown;yes;two
42;divorced;no;1811;yes;14;may;150;1.0;-1;0;unknown;no;two
78;divorced;no;229;no;22;oct;97;1.0;-1;0;unknown;yes;one
32;married;no;2089;yes;14;nov;132;1.0;-1;0;unknown;yes;one
33;married;no;3935;yes;6;may;765;1.0;342;2;failure;yes;two
23;single;no;363;yes;30;may;16;18.0;-1;0;unknown;no;zero
38;single;no;11971;yes;17;nov;609;2.0;101;3;failure;no;zero
36;single;no;553;no;11;aug;106;2.0;-1;0;unknown;no;one
52;married;no;1117;yes;13;may;365;1.0;-1;0;unknown;no;two
32;married;no;396;yes;13;may;205;3.0;-1;0;unknown;no;zero
32;single;no;2204;yes;21;nov;11;4.0;-1;0;unknown;no;zero
34;single;no;872;yes;7;may;105;2.0;-1;0;unknown;no;two
55;married;no;145;no;2;feb;59;3.0;5;2;other;no;two
26;married;no;0;yes;21;may;425;1.0;-1;0;unknown;no;one
32;single;yes;-849;yes;4;feb;204;1.0;-1;0;unknown;no;zero
61;married;no;4629;yes;27;jan;181;1.0;92;1;success;yes;two
45;divorced;no;844;no;5;jun;1018;3.0;-1;0;unknown;yes;two
37;single;no;228;yes;20;aug;1740;2.0;-1;0;unknown;no;two
38;single;no;50;no;29;aug;98;2.0;-1;0;unknown;no;zero
34;married;no;1539;yes;15;jun;441;1.0;56;1;other;yes;zero
53;married;no;2231;yes;14;jul;272;3.0;-1;0;unknown;no;two
48;married;no;3064;yes;15;jul;159;2.0;-1;0;unknown;no;zero
57;married;no;82;no;4;feb;140;1.0;-1;0;unknown;no;zero
33;single;no;2155;no;17;nov;295;1.0;-1;0;unknown;no;zero
36;single;no;101;yes;26;may;314;1.0;-1;0;unknown;no;zero
54;divorced;no;784;yes;15;may;579;1.0;-1;0;unknown;no;two
41;married;no;-516;no;8;jul;554;3.0;-1;0;unknown;no;zero
63;married;no;415;yes;7;oct;323;1.0;-1;0;unknown;no;zero
48;married;no;5887;no;13;aug;227;2.0;-1;0;unknown;no;two
48;married;no;1355;no;4;jul;134;2.0;-1;0;unknown;no;two
56;married;no;16873;no;7;oct;223;1.0;-1;0;unknown;no;one
51;divorced;no;203;yes;8;may;134;1.0;170;5;failure;no;zero
31;married;no;338;yes;28;jan;155;1.0;-1;0;unknown;no;one
29;married;no;444;yes;21;jul;130;4.0;-1;0;unknown;no;zero
41;married;no;0;no;7;jul;630;3.0;-1;0;unknown;no;two
32;single;no;360;no;19;nov;164;2.0;-1;0;unknown;no;one
37;married;no;0;no;16;jul;268;2.0;182;3;success;yes;two
42;divorced;yes;2;yes;5;may;380;1.0;-1;0;unknown;no;one
31;single;no;6248;yes;9;may;154;2.0;-1;0;unknown;no;zero
41;married;no;412;yes;3;jun;154;5.0;-1;0;unknown;no;two
56;married;no;344;yes;15;may;221;1.0;-1;0;unknown;no;zero
54;divorced;no;3222;no;14;aug;67;2.0;-1;0;unknown;no;two
41;divorced;no;174;yes;14;may;367;2.0;297;1;other;no;zero
40;single;no;591;no;14;aug;87;6.0;-1;0;unknown;no;zero
50;divorced;no;388;no;5;feb;701;1.0;-1;0;unknown;no;two
40;married;no;219;yes;17;nov;204;2.0;196;1;failure;no;two
27;divorced;no;451;yes;16;jul;652;1.0;-1;0;unknown;yes;two
60;married;no;5;no;26;aug;63;2.0;-1;0;unknown;no;one
28;single;no;177;yes;6;may;150;1.0;-1;0;unknown;no;two
52;married;no;657;no;7;jul;398;2.0;460;2;failure;yes;one
37;married;no;1315;no;30;jun;224;1.0;-1;0;unknown;yes;zero
51;married;no;1466;yes;7;may;406;2.0;-1;0;unknown;no;one
41;single;no;879;no;7;jul;60;4.0;-1;0;unknown;no;two
35;single;no;293;yes;30;may;521;2.0;-1;0;unknown;no;two
38;married;no;424;yes;17;apr;279;1.0;-1;0;unknown;no;one
34;married;no;1831;yes;20;may;203;2.0;-1;0;unknown;no;one
39;married;no;111;no;18;nov;201;2.0;-1;0;unknown;no;two
34;married;no;455;yes;20;jun;372;3.0;-1;0;unknown;no;two
27;single;no;-195;yes;18;may;391;1.0;-1;0;unknown;yes;zero
32;single;no;3616;no;14;aug;165;2.0;-1;0;unknown;no;one
57;married;no;14093;no;11;aug;231;5.0;-1;0;unknown;no;two
41;single;no;1567;no;1;jul;291;2.0;-1;0;unknown;no;one
41;married;no;5426;yes;14;may;149;2.0;-1;0;unknown;no;two
30;single;no;261;no;19;oct;233;1.0;137;20;failure;no;two
36;divorced;no;2843;no;12;feb;473;1.0;182;1;success;no;two
31;single;no;406;no;4;feb;736;1.0;-1;0;unknown;yes;two
36;married;no;0;yes;6;may;337;1.0;-1;0;unknown;no;zero
38;single;no;493;yes;11;may;553;1.0;367;7;failure;no;two
49;married;no;5996;no;21;nov;345;2.0;-1;0;unknown;no;two
57;single;no;3777;yes;13;may;65;2.0;-1;0;unknown;no;one
34;single;no;524;no;13;aug;9;1.0;-1;0;unknown;no;two
32;single;no;574;yes;14;apr;259;2.0;145;3;failure;no;one
37;married;no;427;yes;9;jun;371;3.0;-1;0;unknown;no;two
33;married;no;483;yes;3;feb;280;2.0;-1;0;unknown;no;one
56;married;no;3391;no;21;apr;243;1.0;-1;0;unknown;yes;two
27;married;no;0;yes;23;jul;435;3.0;-1;0;unknown;no;one
21;single;no;2488;no;30;jun;258;6.0;169;3;success;yes;zero
58;married;no;1517;yes;29;jul;7;5.0;-1;0;unknown;no;two
32;married;no;217;yes;15;jul;317;5.0;-1;0;unknown;no;two
33;single;no;22;no;30;jan;76;2.0;207;1;failure;no;two
25;single;no;331;no;26;aug;170;4.0;-1;0;unknown;yes;two
25;single;no;505;no;17;nov;386;2.0;-1;0;unknown;yes;one
30;married;no;1808;yes;18;may;83;2.0;-1;0;unknown;no;one
22;single;no;4111;no;19;aug;65;1.0;-1;0;unknown;no;one
39;married;no;52;no;13;aug;69;1.0;-1;0;unknown;no;one
46;divorced;no;25;no;17;jun;564;2.0;-1;0;unknown;no;two
31;divorced;no;1890;yes;21;jul;588;1.0;-1;0;unknown;no;one
45;married;no;419;no;18;aug;113;4.0;-1;0;unknown;no;two
32;married;no;2693;yes;21;may;16;1.0;-1;0;unknown;no;zero
36;married;no;-231;no;15;jul;779;2.0;-1;0;unknown;no;one
51;single;yes;-55;yes;11;may;281;2.0;266;6;failure;no;two
34;single;no;462;no;21;aug;1877;3.0;-1;0;unknown;yes;two
24;single;no;119;no;15;sep;51;1.0;-1;0;unknown;no;two
45;single;no;586;no;28;jul;32;3.0;-1;0;unknown;no;two
32;single;no;228;no;5;feb;176;1.0;288;3;failure;no;zero
77;divorced;no;4659;no;14;apr;161;1.0;-1;0;unknown;yes;zero
41;married;no;168;yes;18;nov;187;3.0;-1;0;unknown;no;one
37;married;no;0;yes;26;may;24;1.0;-1;0;unknown;no;two
43;married;yes;-715;yes;30;may;67;3.0;-1;0;unknown;no;zero
48;married;no;0;yes;8;may;85;1.0;168;2;failure;no;one
27;single;no;769;yes;9;may;317;2.0;-1;0;unknown;no;zero
33;single;no;0;no;28;aug;236;10.0;-1;0;unknown;no;two
29;single;no;428;yes;7;may;54;1.0;345;2;failure;no;two
34;single;no;0;no;5;feb;71;1.0;-1;0;unknown;no;two
52;married;no;-970;yes;4;feb;489;1.0;-1;0;unknown;yes;two
60;married;no;6313;no;19;jun;39;2.0;-1;0;unknown;no;two
32;divorced;no;948;no;12;aug;204;2.0;-1;0;unknown;no;two
32;single;no;0;yes;22;jul;455;2.0;-1;0;unknown;no;zero
56;divorced;no;1877;yes;30;may;86;1.0;-1;0;unknown;no;zero
31;single;no;874;yes;18;nov;190;2.0;-1;0;unknown;no;two
42;married;no;323;yes;8;may;280;2.0;-1;0;unknown;no;one
35;married;no;106;no;11;aug;588;2.0;-1;0;unknown;no;zero
56;married;no;1906;no;19;jun;45;9.0;-1;0;unknown;no;zero
48;married;no;1152;yes;21;jul;168;5.0;-1;0;unknown;no;one
46;married;no;179;yes;29;jan;194;4.0;436;1;other;no;zero
37;single;no;391;yes;8;may;103;3.0;-1;0;unknown;no;one
41;married;no;89;yes;6;may;333;2.0;-1;0;unknown;no;one
36;single;no;442;yes;29;jul;102;3.0;-1;0;unknown;no;two
45;divorced;yes;-249;yes;1;jul;92;1.0;-1;0;unknown;no;two
55;married;no;8104;no;6;feb;213;2.0;-1;0;unknown;no;one
39;married;no;501;no;26;may;289;1.0;-1;0;unknown;no;two
35;divorced;no;308;no;22;aug;77;2.0;-1;0;unknown;no;one
55;married;no;602;no;1;jun;324;3.0;90;2;success;yes;two
55;married;no;273;yes;29;jan;84;3.0;183;3;failure;no;two
27;single;no;50;no;29;jan;168;1.0;-1;0;unknown;no;zero
34;married;no;1641;yes;17;apr;380;1.0;-1;0;unknown;no;one
34;married;no;20;no;4;oct;10;1.0;-1;0;unknown;no;one
25;single;no;4590;yes;28;may;199;2.0;-1;0;unknown;no;zero
41;single;no;-256;no;9;may;35;3.0;-1;0;unknown;no;zero
43;married;no;978;yes;26;may;82;2.0;-1;0;unknown;no;two
28;single;no;80;no;20;oct;676;2.0;146;2;failure;yes;zero
31;single;no;2104;yes;3;jun;455;1.0;-1;0;unknown;no;one
78;married;no;499;no;16;mar;80;4.0;-1;0;unknown;no;one
45;divorced;no;1269;yes;29;jan;549;2.0;-1;0;unknown;no;zero
48;married;no;310;no;6;may;135;1.0;-1;0;unknown;no;two
32;single;no;1143;yes;10;jul;412;1.0;-1;0;unknown;no;one
42;married;no;2980;no;20;jun;101;3.0;-1;0;unknown;no;two
37;single;no;37;no;28;jan;253;2.0;-1;0;unknown;no;zero
40;single;no;462;yes;6;apr;272;1.0;335;4;other;no;zero
32;married;no;1031;yes;17;jul;84;1.0;-1;0;unknown;no;two
42;married;no;9009;no;20;nov;135;2.0;-1;0;unknown;no;one
43;married;no;-465;yes;23;jul;166;1.0;-1;0;unknown;no;zero
44;married;no;5181;yes;31;jul;18;7.0;-1;0;unknown;no;two
37;married;no;176;yes;5;may;147;2.0;347;1;failure;no;two
37;married;no;1699;no;9;jun;63;1.0;-1;0;unknown;no;one
37;married;no;0;yes;17;nov;65;2.0;119;1;failure;no;zero
28;single;no;172;yes;2;feb;194;2.0;-1;0;unknown;no;two
32;single;no;0;no;11;jul;333;2.0;-1;0;unknown;no;one
34;single;no;6979;yes;15;may;14;5.0;-1;0;unknown;no;one
40;divorced;no;6;no;11;jun;140;1.0;-1;0;unknown;no;one
34;married;no;-62;yes;16;jun;109;3.0;-1;0;unknown;no;two
34;married;no;1972;yes;23;jul;61;2.0;-1;0;unknown;no;one
34;married;no;899;yes;19;nov;377;3.0;7;4;success;no;two
37;single;no;21;yes;2;feb;96;1.0;271;2;other;no;zero
36;married;no;23;yes;8;may;152;2.0;347;1;failure;no;one
56;married;no;-1206;yes;15;jun;382;2.0;-1;0;unknown;yes;two
49;married;no;0;yes;23;jul;97;6.0;-1;0;unknown;no;zero
33;married;no;215;yes;29;jul;543;12.0;-1;0;unknown;no;zero
30;single;no;1372;no;20;nov;240;2.0;-1;0;unknown;no;one
36;married;no;1981;no;17;jun;48;2.0;-1;0;unknown;no;zero
23;single;no;9216;no;5;jun;471;2.0;-1;0;unknown;no;one
57;divorced;no;39;yes;30;jul;354;3.0;-1;0;unknown;no;one
27;single;no;5563;yes;30;may;435;2.0;-1;0;unknown;no;one
38;married;no;1;no;21;nov;152;2.0;-1;0;unknown;no;two
42;married;no;782;no;3;apr;285;1.0;-1;0;unknown;no;one
75;married;no;3771;no;15;apr;185;1.0;181;2;success;yes;one
34;single;no;992;yes;4;may;301;1.0;88;2;success;no;two
48;married;no;1526;no;6;aug;273;2.0;-1;0;unknown;no;zero
35;single;no;2658;yes;19;aug;768;2.0;141;3;failure;yes;two
39;divorced;no;1315;yes;19;nov;1337;4.0;126;1;failure;no;two
29;single;no;455;no;21;apr;403;1.0;-1;0;unknown;yes;zero
45;single;no;0;yes;18;nov;139;2.0;-1;0;unknown;no;two
42;married;no;2030;yes;9;jul;196;1.0;-1;0;unknown;no;two
29;married;no;1599;yes;8;jul;115;1.0;61;1;failure;no;zero
38;single;no;-196;yes;2;feb;60;1.0;271;1;failure;no;one
56;married;no;1333;no;28;aug;17;14.0;-1;0;unknown;no;zero
36;single;no;9149;yes;13;aug;141;3.0;-1;0;unknown;no;two
25;single;no;-350;yes;23;jun;95;3.0;-1;0;unknown;no;zero
38;married;no;432;yes;15;may;10;2.0;373;1;other;no;zero
57;married;no;11494;no;19;nov;198;1.0;-1;0;unknown;no;two
31;married;yes;-253;no;12;aug;220;4.0;-1;0;unknown;no;two
42;married;no;372;yes;3;aug;654;2.0;-1;0;unknown;yes;one
45;married;no;1410;no;11;aug;71;2.0;-1;0;unknown;no;two
30;married;no;975;yes;13;may;256;2.0;351;2;failure;no;one
49;married;no;305;yes;10;jul;834;10.0;-1;0;unknown;no;zero
49;married;no;400;no;21;aug;151;3.0;-1;0;unknown;no;zero
53;married;no;-22;yes;31;jul;20;3.0;-1;0;unknown;no;zero
37;married;no;4030;yes;26;may;178;5.0;-1;0;unknown;no;zero
49;married;no;365;no;26;may;59;2.0;-1;0;unknown;no;one
41;married;no;204;no;13;aug;111;7.0;-1;0;unknown;no;one
54;married;no;1691;yes;20;nov;186;1.0;-1;0;unknown;no;zero
32;single;no;406;yes;6;may;227;1.0;-1;0;unknown;no;two
33;married;no;-204;no;15;may;297;3.0;-1;0;unknown;no;zero
33;married;no;359;yes;20;apr;210;1.0;242;1;other;no;two
36;married;no;123;yes;18;may;9;1.0;-1;0;unknown;no;one
35;married;no;0;yes;23;sep;112;1.0;62;6;other;no;two
52;married;no;142;no;25;aug;112;6.0;-1;0;unknown;no;two
40;married;no;3571;no;9;jun;222;3.0;-1;0;unknown;no;zero
44;single;no;33;yes;13;may;195;3.0;351;10;failure;no;two
45;single;no;0;yes;26;jul;768;2.0;91;5;success;no;zero
30;single;no;3096;no;26;jan;123;1.0;-1;0;unknown;no;two
48;divorced;yes;20;no;27;aug;145;3.0;-1;0;unknown;no;two
33;married;no;3576;yes;2;apr;124;1.0;308;2;other;no;two
57;married;no;206;yes;5;may;216;3.0;-1;0;unknown;no;zero
57;married;no;7082;no;6;jun;69;3.0;-1;0;unknown;no;two
51;married;no;1634;yes;22;jul;168;4.0;-1;0;unknown;no;one
34;single;no;1;yes;22;jul;483;7.0;-1;0;unknown;no;two
50;married;no;4012;no;19;nov;690;3.0;-1;0;unknown;no;zero
44;married;no;3762;no;28;aug;125;12.0;-1;0;unknown;no;one
27;married;no;-247;yes;4;jun;344;2.0;-1;0;unknown;no;one
50;married;no;606;yes;14;may;673;2.0;-1;0;unknown;no;zero
36;married;no;0;yes;28;jan;60;1.0;250;1;other;no;two
42;married;no;-189;yes;12;may;247;2.0;-1;0;unknown;no;zero
32;single;no;0;no;27;may;123;2.0;-1;0;unknown;no;zero
