age;marital;default;balance;housing;day;month;duration;campaign;pdays;previous;poutcome;y;level
42;married;no;484;yes;11;jul;144;2.0;-1;0;unknown;no;two
43;married;no;0;no;8;may;9;2.0;172;5;failure;no;one
31;married;no;395;yes;9;feb;155;3.0;-1;0;unknown;no;zero
32;married;no;2349;no;14;aug;134;5.0;-1;0;unknown;no;two
55;divorced;no;410;no;11;jul;221;2.0;-1;0;unknown;no;zero
58;married;no;3401;yes;3;feb;84;3.0;265;2;failure;no;one
46;married;no;222;no;8;aug;71;2.0;-1;0;unknown;no;one
55;married;no;989;yes;23;may;246;4.0;-1;0;unknown;no;one
34;married;no;415;no;23;jul;361;2.0;-1;0;unknown;no;two
28;single;no;16;no;12;aug;119;4.0;-1;0;unknown;no;one
42;divorced;no;7190;yes;29;jul;375;2.0;-1;0;unknown;no;one
29;single;no;482;no;10;jul;1097;3.0;-1;0;unknown;yes;zero
54;married;no;209;yes;25;jul;97;1.0;-1;0;unknown;no;two
32;single;no;0;no;26;aug;181;2.0;-1;0;unknown;no;two
39;single;no;5803;no;2;feb;83;3.0;-1;0;unknown;no;two
53;married;no;624;no;21;jul;180;4.0;-1;0;unknown;no;one
58;married;no;883;no;18;aug;543;1.0;78;2;failure;no;two
40;married;no;1516;yes;23;may;373;1.0;-1;0;unknown;no;one
29;single;no;872;yes;7;may;230;1.0;-1;0;unknown;no;zero
33;married;no;-988;yes;15;jul;83;3.0;-1;0;unknown;no;one
38;single;no;902;yes;31;jul;58;13.0;-1;0;unknown;no;two
56;divorced;no;1007;no;29;jul;88;6.0;-1;0;unknown;no;one
40;married;no;0;yes;2;jun;297;1.0;28;3;failure;no;one
24;single;no;174;yes;18;may;487;1.0;-1;0;unknown;yes;zero
46;married;no;12186;no;20;jun;29;3.0;-1;0;unknown;no;one
35;married;no;524;yes;21;nov;484;4.0;-1;0;unknown;no;zero
35;single;no;0;yes;21;jul;262;4.0;-1;0;unknown;no;one
34;married;no;4;yes;15;may;644;1.0;-1;0;unknown;no;one
35;married;no;11219;no;12;aug;699;2.0;79;1;failure;no;two
38;single;no;0;no;28;aug;247;2.0;-1;0;unknown;no;two
50;married;no;5776;no;18;nov;49;3.0;-1;0;unknown;no;two
51;divorced;no;37;yes;13;may;341;1.0;-1;0;unknown;no;one
59;married;no;593;no;13;may;64;2.0;-1;0;unknown;no;two
32;married;no;1148;yes;20;apr;121;1.0;-1;0;unknown;no;zero
37;single;no;3561;yes;2;jun;98;1.0;-1;0;unknown;no;one
42;divorced;no;63;no;16;may;88;6.0;-1;0;unknown;no;zero
40;married;no;260;no;20;jun;197;6.0;-1;0;unknown;no;two
28;single;no;2269;yes;9;may;331;1.0;-1;0;unknown;no;zero
47;married;no;1060;yes;6;jun;83;3.0;-1;0;unknown;no;two
27;married;no;-220;yes;26;may;138;2.0;-1;0;unknown;no;zero
41;married;no;49;yes;17;jul;312;5.0;-1;0;unknown;no;zero
34;married;no;69;no;4;aug;120;3.0;1;6;success;yes;two
50;married;no;4108;yes;7;aug;526;2.0;-1;0;unknown;yes;one
47;married;no;480;yes;28;may;211;2.0;-1;0;unknown;no;one
53;married;no;4994;no;18;aug;62;6.0;-1;0;unknown;no;two
53;divorced;no;0;yes;15;jul;135;5.0;-1;0;unknown;no;two
47;married;no;3681;no;14;aug;101;2.0;-1;0;unknown;no;two
49;divorced;yes;-701;yes;30;jul;988;2.0;-1;0;unknown;yes;one
29;married;no;451;no;28;jan;451;1.0;-1;0;unknown;no;one
45;divorced;no;-311;yes;23;may;1030;1.0;-1;0;unknown;yes;two
38;married;no;593;yes;24;jul;1484;24.0;-1;0;unknown;yes;zero
32;married;no;759;yes;9;apr;317;5.0;-1;0;unknown;yes;zero
70;divorced;no;4531;no;18;may;445;1.0;-1;0;unknown;no;two
65;divorced;no;1840;no;1;jun;383;2.0;188;5;failure;no;two
56;married;no;345;yes;22;jul;605;1.0;-1;0;unknown;no;one
35;married;no;1287;yes;14;jul;330;2.0;-1;0;unknown;no;one
56;married;no;353;no;25;jul;171;2.0;-1;0;unknown;no;zero
56;married;no;205;no;23;jul;442;2.0;-1;0;unknown;no;one
49;married;no;687;yes;17;apr;772;1.0;-1;0;unknown;yes;two
38;married;no;1147;yes;8;may;249;5.0;-1;0;unknown;no;two
35;married;no;4286;yes;9;may;357;1.0;-1;0;unknown;no;zero
38;married;no;605;no;18;nov;147;2.0;-1;0;unknown;no;one
49;married;no;8545;yes;6;may;199;7.0;167;1;failure;no;one
55;married;no;559;no;28;jan;271;2.0;-1;0;unknown;no;one
43;single;no;2;yes;30;jul;783;3.0;-1;0;unknown;no;two
43;married;no;2;no;20;aug;472;2.0;-1;0;unknown;no;zero
25;single;no;760;yes;27;may;223;3.0;89;2;failure;yes;zero
30;married;no;1317;yes;21;may;395;2.0;-1;0;unknown;no;zero
46;married;no;182;no;4;feb;56;1.0;-1;0;unknown;no;two
50;married;no;276;no;17;jun;641;6.0;-1;0;unknown;no;one
35;married;no;2971;no;4;may;429;4.0;164;2;failure;yes;zero
26;single;no;1064;no;31;may;113;1.0;-1;0;unknown;no;two
45;married;no;1783;no;20;jun;11;11.0;-1;0;unknown;no;zero
37;married;no;-67;no;2;feb;157;1.0;-1;0;unknown;no;one
60;single;no;179;no;29;jul;79;4.0;-1;0;unknown;no;one
38;married;no;1199;no;4;aug;178;1.0;1;1;success;yes;two
47;married;no;214;yes;9;jun;168;1.0;-1;0;unknown;no;one
33;married;no;6699;no;9;nov;425;1.0;462;1;failure;no;two
51;married;no;1760;no;19;nov;162;1.0;-1;0;unknown;no;zero
35;single;no;145;yes;18;jul;799;2.0;-1;0;unknown;yes;one
35;married;no;978;no;29;dec;1370;3.0;209;3;success;yes;two
48;single;no;1150;yes;28;may;357;1.0;-1;0;unknown;no;two
37;married;no;121;no;22;jul;22;6.0;-1;0;unknown;no;two
29;single;no;828;yes;16;apr;215;3.0;321;3;other;no;zero
34;married;no;244;yes;31;jul;56;4.0;-1;0;unknown;no;zero
32;married;no;228;yes;21;jul;1017;6.0;-1;0;unknown;yes;zero
30;single;no;424;no;16;apr;298;4.0;-1;0;unknown;yes;one
47;divorced;no;447;no;7;may;126;1.0;-1;0;unknown;no;one
33;married;no;-195;no;20;sep;9;1.0;-1;0;unknown;no;two
33;single;no;1410;yes;5;feb;8;1.0;254;5;failure;no;one
63;married;no;1084;no;14;oct;201;1.0;183;1;success;no;one
51;divorced;no;10924;no;6;may;106;2.0;-1;0;unknown;no;two
41;married;no;832;yes;21;nov;164;1.0;176;1;failure;no;zero
56;married;no;478;no;5;feb;97;1.0;-1;0;unknown;no;two
60;single;no;0;no;23;jul;151;1.0;-1;0;unknown;no;two
41;single;no;3950;yes;30;may;96;2.0;-1;0;unknown;no;one
37;single;no;504;yes;16;apr;555;1.0;-1;0;unknown;no;one
36;single;no;219;yes;11;may;270;2.0;347;1;failure;no;one
57;married;no;1602;no;29;jul;339;3.0;-1;0;unknown;no;zero
55;married;no;2587;no;4;sep;328;2.0;94;2;success;yes;one
44;married;no;0;yes;16;may;159;1.0;-1;0;unknown;no;two
47;married;no;2303;yes;6;may;323;2.0;364;1;failure;no;one
31;married;no;1660;yes;20;apr;342;1.0;-1;0;unknown;no;two
35;married;yes;32;yes;21;nov;180;1.0;-1;0;unknown;no;zero
39;married;no;278;no;28;jul;60;3.0;-1;0;unknown;no;one
50;married;no;4;no;17;nov;223;1.0;96;2;failure;no;zero
29;married;no;318;yes;18;may;1434;2.0;356;4;failure;no;two
30;single;no;209;yes;6;may;30;2.0;-1;0;unknown;no;two
46;married;no;271;yes;16;may;134;4.0;-1;0;unknown;no;one
27;single;no;3196;no;9;feb;10;2.0;-1;0;unknown;no;zero
48;divorced;no;4099;no;2;apr;397;2.0;-1;0;unknown;yes;one
26;single;no;2572;yes;5;may;620;1.0;-1;0;unknown;no;one
36;single;no;339;no;21;nov;6;6.0;-1;0;unknown;no;two
42;married;no;0;yes;7;may;209;2.0;-1;0;unknown;no;zero
50;married;no;395;yes;15;may;419;2.0;-1;0;unknown;no;two
49;married;no;2039;yes;18;nov;283;2.0;-1;0;unknown;no;zero
45;married;no;5450;no;8;aug;188;2.0;-1;0;unknown;no;two
23;single;no;780;no;16;sep;267;1.0;-1;0;unknown;no;two
38;single;no;0;yes;7;apr;196;2.0;-1;0;unknown;no;zero
32;single;no;8436;yes;17;apr;245;1.0;149;2;failure;no;zero
60;single;no;11262;no;26;aug;323;1.0;-1;0;unknown;yes;one
30;married;no;946;yes;19;nov;1065;1.0;183;1;other;no;one
58;married;no;497;no;11;jun;138;5.0;-1;0;unknown;no;two
60;married;no;55;no;4;jun;207;1.0;-1;0;unknown;no;one
38;married;no;-140;no;25;jun;456;3.0;-1;0;unknown;no;one
51;married;no;-379;yes;5;aug;261;1.0;-1;0;unknown;no;one
42;married;no;-396;yes;11;may;80;1.0;308;4;failure;no;two
30;single;no;0;yes;18;may;131;6.0;363;9;failure;no;zero
40;married;no;733;yes;6;jun;94;7.0;-1;0;unknown;no;two
37;married;no;393;yes;14;may;567;3.0;275;4;failure;yes;one
53;divorced;no;7290;yes;30;may;153;1.0;-1;0;unknown;no;zero
27;single;no;468;yes;13;may;109;1.0;-1;0;unknown;no;one
39;married;no;0;yes;30;apr;53;1.0;325;1;failure;no;zero
39;married;no;3705;yes;16;jun;77;1.0;-1;0;unknown;no;two
59;married;no;9676;no;27;mar;234;2.0;-1;0;unknown;yes;two
37;married;no;1328;yes;13;may;121;2.0;341;4;failure;no;two
41;married;no;8;yes;15;jul;155;2.0;-1;0;unknown;no;two
45;married;no;61;no;17;apr;108;1.0;-1;0;unknown;no;zero
48;married;no;6613;no;17;jun;159;3.0;-1;0;unknown;no;zero
48;married;no;302;yes;26;may;208;3.0;-1;0;unknown;no;one
32;married;no;1005;no;12;may;215;1.0;-1;0;unknown;no;two
35;married;no;109;yes;6;may;597;3.0;-1;0;unknown;no;one
33;single;no;1240;yes;4;feb;505;2.0;260;1;other;no;two
28;single;no;0;yes;3;jun;380;4.0;-1;0;unknown;no;one
64;married;no;2923;no;12;mar;120;1.0;-1;0;unknown;no;zero
35;married;no;0;no;27;aug;106;4.0;-1;0;unknown;no;two
33;married;no;43;yes;14;may;332;2.0;358;2;failure;no;two
41;married;no;288;yes;15;may;221;4.0;-1;0;unknown;no;two
34;married;no;613;yes;4;jun;80;1.0;-1;0;unknown;no;two
37;single;no;6101;no;4;may;60;5.0;87;1;success;no;two
38;married;no;168;yes;13;may;212;3.0;-1;0;unknown;no;one
39;married;no;7685;yes;14;apr;493;3.0;-1;0;unknown;no;zero
35;divorced;no;4515;yes;19;nov;98;2.0;-1;0;unknown;no;one
28;single;no;517;no;8;jul;681;1.0;-1;0;unknown;yes;zero
27;single;no;148;no;22;jul;203;1.0;-1;0;unknown;no;two
48;married;yes;-285;no;19;nov;157;1.0;-1;0;unknown;no;one
50;married;no;887;no;16;jun;287;1.0;-1;0;unknown;no;two
45;married;no;3098;yes;7;aug;159;2.0;-1;0;unknown;no;one
41;married;no;744;yes;14;may;125;1.0;-1;0;unknown;no;one
39;married;no;130;no;8;jul;202;2.0;-1;0;unknown;no;one
44;married;no;438;yes;8;may;37;3.0;303;1;failure;no;two
54;married;no;0;no;28;jan;161;1.0;98;2;failure;yes;two
49;married;no;322;no;6;aug;72;4.0;-1;0;unknown;no;one
34;single;no;186;no;2;feb;342;1.0;-1;0;unknown;no;two
75;divorced;no;3810;yes;16;nov;262;1.0;183;1;failure;yes;two
42;married;no;0;no;13;aug;325;2.0;-1;0;unknown;no;zero
53;married;no;4380;no;19;aug;223;7.0;-1;0;unknown;no;two
49;divorced;no;755;no;31;jul;1212;4.0;-1;0;unknown;yes;one
31;single;no;2070;no;29;aug;319;2.0;-1;0;unknown;no;zero
45;single;no;999;no;29;jan;182;2.0;-1;0;unknown;no;one
39;married;no;167;yes;17;jul;330;1.0;-1;0;unknown;no;two
46;married;no;1322;yes;19;nov;514;1.0;-1;0;unknown;no;two
42;divorced;no;1076;yes;14;may;213;1.0;-1;0;unknown;no;one
37;married;no;502;yes;7;may;551;1.0;351;1;failure;no;two
26;single;no;1216;yes;16;apr;472;2.0;-1;0;unknown;no;zero
37;single;no;876;yes;15;apr;140;4.0;327;2;failure;no;two
36;single;no;342;yes;7;may;142;1.0;-1;0;unknown;no;two
29;single;no;950;yes;4;jun;135;3.0;-1;0;unknown;no;two
36;married;no;973;yes;23;may;293;1.0;-1;0;unknown;no;zero
26;married;no;3825;yes;13;may;107;1.0;-1;0;unknown;no;one
32;married;no;2366;yes;20;may;127;2.0;-1;0;unknown;no;zero
40;married;no;542;yes;20;nov;1816;1.0;-1;0;unknown;no;one
53;married;no;995;no;4;feb;200;3.0;-1;0;unknown;no;zero
29;married;no;20;yes;12;may;418;1.0;-1;0;unknown;no;one
34;single;no;228;yes;22;jul;387;4.0;-1;0;unknown;no;two
43;married;no;130;no;5;may;156;1.0;337;3;failure;no;two
56;married;no;217;no;21;jul;121;2.0;-1;0;unknown;no;two
55;divorced;no;0;no;6;jun;108;2.0;-1;0;unknown;no;one
31;married;no;259;yes;7;may;47;1.0;-1;0;unknown;no;zero
27;single;no;619;yes;20;apr;16;5.0;322;4;other;no;two
36;married;no;644;yes;18;nov;54;2.0;-1;0;unknown;no;one
44;married;no;22;yes;6;aug;265;2.0;-1;0;unknown;no;two
37;divorced;no;4303;yes;23;may;168;1.0;-1;0;unknown;no;two
30;single;no;239;yes;7;may;115;3.0;-1;0;unknown;no;zero
42;single;no;275;no;26;aug;31;8.0;-1;0;unknown;no;one
30;married;no;1221;yes;25;jul;279;4.0;-1;0;unknown;yes;one
62;married;no;816;no;1;sep;28;2.0;-1;0;unknown;no;two
24;married;no;1222;yes;20;apr;369;1.0;-1;0;unknown;no;zero
31;married;no;2363;yes;13;may;247;1.0;-1;0;unknown;no;zero
66;married;no;2262;no;22;apr;155;1.0;-1;0;unknown;no;zero
47;married;no;2;no;10;jul;89;1.0;-1;0;unknown;no;two
39;married;no;2;yes;17;nov;180;1.0;-1;0;unknown;no;one
35;married;no;4508;yes;18;nov;854;1.0;-1;0;unknown;yes;one
35;divorced;no;-402;yes;17;apr;46;1.0;-1;0;unknown;no;two
27;married;no;1577;yes;28;may;266;2.0;-1;0;unknown;no;two
32;married;no;34;yes;5;may;321;2.0;-1;0;unknown;no;zero
44;married;no;795;no;28;aug;99;24.0;-1;0;unknown;no;zero
42;married;no;117;yes;9;may;147;1.0;-1;0;unknown;no;zero
34;single;no;5462;no;30;apr;430;1.0;-1;0;unknown;yes;two
25;single;no;402;no;7;jul;264;1.0;-1;0;unknown;no;one
40;single;no;641;no;16;jul;156;6.0;-1;0;unknown;no;one
43;divorced;no;36;no;26;may;118;1.0;102;2;failure;no;zero
55;married;no;383;no;6;may;343;3.0;-1;0;unknown;no;zero
50;married;no;283;yes;7;aug;226;3.0;-1;0;unknown;no;zero
45;divorced;no;0;no;1;jun;5;1.0;-1;0;unknown;no;one
35;divorced;no;3102;yes;20;nov;138;1.0;-1;0;unknown;no;one
32;married;no;889;yes;10;sep;185;1.0;99;5;success;yes;zero
59;married;no;0;no;3;feb;722;1.0;99;4;failure;no;zero
34;married;no;-370;yes;21;may;748;1.0;-1;0;unknown;no;one
39;married;no;-606;yes;26;may;142;1.0;-1;0;unknown;no;zero
40;single;no;10378;yes;17;nov;523;3.0;-1;0;unknown;no;zero
36;single;no;1313;yes;20;jun;8;10.0;-1;0;unknown;no;two
40;married;no;8969;yes;17;nov;153;1.0;-1;0;unknown;no;zero
55;married;no;-196;yes;20;may;210;2.0;-1;0;unknown;no;zero
38;married;yes;15;yes;10;jul;121;1.0;-1;0;unknown;no;two
61;married;no;4608;no;12;mar;212;1.0;-1;0;unknown;yes;two
41;married;no;666;yes;21;may;253;3.0;-1;0;unknown;no;one
57;married;no;452;yes;13;may;139;4.0;-1;0;unknown;no;two
48;married;no;149;yes;9;may;71;1.0;-1;0;unknown;no;two
77;married;no;7802;no;4;may;421;1.0;92;2;success;yes;two
35;married;no;1453;yes;28;may;199;1.0;-1;0;unknown;no;zero
54;married;no;1480;yes;14;may;108;1.0;-1;0;unknown;no;two
37;single;no;715;yes;20;may;247;2.0;-1;0;unknown;no;one
56;single;no;237;yes;9;jul;236;4.0;-1;0;unknown;no;one
40;married;no;694;yes;4;feb;97;4.0;196;5;failure;no;one
40;married;no;0;no;14;jul;109;8.0;-1;0;unknown;no;one
54;married;no;55;yes;2;jun;112;2.0;-1;0;unknown;no;zero
55;married;no;136;yes;19;jun;15;10.0;-1;0;unknown;no;two
55;divorced;yes;-404;yes;22;jul;502;3.0;-1;0;unknown;no;two
52;married;no;779;yes;16;may;30;3.0;-1;0;unknown;no;one
55;single;no;1187;yes;2;jun;193;2.0;-1;0;unknown;no;two
33;married;no;641;yes;13;aug;347;2.0;-1;0;unknown;no;two
52;married;no;826;yes;15;may;468;2.0;-1;0;unknown;no;two
33;divorced;no;991;yes;27;may;148;1.0;-1;0;unknown;no;one
53;married;no;1796;no;16;mar;295;1.0;91;2;success;yes;two
46;married;no;22;no;26;aug;388;6.0;-1;0;unknown;yes;one
44;single;no;244;yes;12;aug;1735;4.0;-1;0;unknown;yes;two
48;divorced;no;1328;yes;6;may;339;1.0;-1;0;unknown;no;two
50;married;no;7317;yes;13;may;172;1.0;370;1;failure;no;one
34;single;no;4943;yes;19;nov;117;2.0;-1;0;unknown;no;zero
38;single;no;258;no;20;jun;587;2.0;-1;0;unknown;no;two
